Production Line,Machine ID,Shift,Date,Units Produced,Defect Rate,Downtime Minutes
Line D,M-107,Morning,2023-06-01,96,4.35,75
Line C,M-105,Afternoon,2023-06-01,108,1.29,28
Line A,M-100,Morning,2023-06-01,332,2.59,51
Line B,M-107,Night,2023-06-01,506,3.18,4
Line A,M-102,Morning,2023-06-01,418,3.33,81
Line D,M-104,Morning,2023-06-01,105,3.67,1
Line C,M-106,Night,2023-06-02,492,3.16,8
Line A,M-106,Morning,2023-06-02,449,3.38,74
Line A,M-106,Morning,2023-06-02,202,3.23,13
Line C,M-106,Night,2023-06-02,591,4.47,83
Line A,M-105,Afternoon,2023-06-02,435,0.27,30
Line A,M-107,Morning,2023-06-02,186,3.63,62
Line A,M-104,Afternoon,2023-06-03,235,3.03,89
Line A,M-107,Afternoon,2023-06-03,388,6.62,57
Line B,M-106,Afternoon,2023-06-03,177,3.2,79
Line C,M-106,Afternoon,2023-06-03,249,7.45,79
Line A,M-104,Morning,2023-06-03,265,5.74,34
Line A,M-102,Night,2023-06-03,510,1.09,74
Line D,M-104,Morning,2023-06-04,156,4.16,65
Line A,M-100,Afternoon,2023-06-04,220,6.28,78
Line B,M-102,Afternoon,2023-06-04,360,2.07,54
Line C,M-102,Afternoon,2023-06-04,342,0.0,32
Line D,M-106,Afternoon,2023-06-04,553,2.79,45
Line A,M-106,Night,2023-06-04,297,2.68,23
Line B,M-106,Afternoon,2023-06-05,551,3.5,42
Line C,M-101,Morning,2023-06-05,285,1.37,18
Line D,M-107,Afternoon,2023-06-05,342,3.1,3
Line C,M-105,Afternoon,2023-06-05,448,6.94,29
Line B,M-103,Night,2023-06-05,195,4.08,71
Line B,M-106,Afternoon,2023-06-05,440,3.37,20
Line C,M-101,Afternoon,2023-06-06,218,1.5,16
Line D,M-102,Night,2023-06-06,492,1.45,45
Line D,M-102,Morning,2023-06-06,106,1.8,10
Line A,M-105,Afternoon,2023-06-06,569,1.89,61
Line A,M-104,Morning,2023-06-06,131,1.93,74
Line C,M-107,Afternoon,2023-06-06,387,2.95,76
Line D,M-107,Morning,2023-06-07,213,4.99,3
Line B,M-105,Afternoon,2023-06-07,173,4.04,67
Line A,M-105,Night,2023-06-07,468,0.27,29
Line B,M-107,Night,2023-06-07,388,2.26,77
Line D,M-104,Afternoon,2023-06-07,378,3.09,83
Line B,M-105,Afternoon,2023-06-07,578,2.41,65
Line A,M-104,Night,2023-06-08,520,1.47,24
Line C,M-100,Night,2023-06-08,258,5.55,40
Line A,M-105,Night,2023-06-08,96,0.0,0
Line A,M-104,Morning,2023-06-08,593,3.31,73
Line C,M-102,Night,2023-06-08,517,2.2,60
Line C,M-104,Afternoon,2023-06-08,411,2.34,55
Line B,M-106,Night,2023-06-09,547,4.7,86
Line A,M-100,Night,2023-06-09,443,0.0,59
Line C,M-107,Night,2023-06-09,482,2.64,47
Line C,M-101,Morning,2023-06-09,238,3.2,62
Line A,M-100,Afternoon,2023-06-09,140,1.9,67
Line A,M-103,Night,2023-06-09,342,3.73,89
Line A,M-101,Afternoon,2023-06-10,269,2.52,41
Line C,M-100,Afternoon,2023-06-10,228,1.65,65
Line B,M-101,Morning,2023-06-10,550,2.44,75
Line B,M-101,Morning,2023-06-10,107,3.8,69
Line A,M-101,Afternoon,2023-06-10,434,3.42,26
Line D,M-107,Morning,2023-06-10,549,0.13,85
Line D,M-104,Morning,2023-06-11,370,3.12,83
Line C,M-102,Afternoon,2023-06-11,326,0.11,42
Line B,M-101,Night,2023-06-11,203,3.24,39
Line B,M-102,Morning,2023-06-11,437,1.64,65
Line A,M-106,Morning,2023-06-11,205,0.01,69
Line A,M-101,Morning,2023-06-11,342,3.14,27
Line D,M-107,Afternoon,2023-06-12,551,1.62,60
Line B,M-107,Afternoon,2023-06-12,226,2.69,4
Line A,M-106,Night,2023-06-12,246,1.25,88
Line A,M-100,Afternoon,2023-06-12,561,4.66,14
Line C,M-102,Night,2023-06-12,374,2.88,60
Line B,M-101,Night,2023-06-12,470,4.14,79
Line C,M-102,Morning,2023-06-13,316,1.46,77
Line D,M-105,Afternoon,2023-06-13,208,3.51,3
Line B,M-104,Afternoon,2023-06-13,556,1.99,27
Line B,M-105,Afternoon,2023-06-13,290,2.14,74
Line A,M-101,Morning,2023-06-13,271,1.78,42
Line B,M-101,Morning,2023-06-13,178,3.5,63
Line C,M-105,Morning,2023-06-14,110,4.68,58
Line A,M-101,Afternoon,2023-06-14,238,1.96,68
Line A,M-100,Afternoon,2023-06-14,557,2.81,3
